id	jp_id_ref	category	source_file	offset	record_index	raw_hex	jp_text	zh_text	control_tokens	status	length_risk	context_required	translator_note	qa_note	source_byte_len	chunk_row_index	prev_jp_text	next_jp_text
zh_txt_41737338_00001A_0000	txt_41737338_00001A_0000	message	msg/fld/evt/080.m	0x1A	0	81 75 82 b1 82 cc 81 40 82 e4 82 a9 82 cc 81 40 82 b7 82 a4 82 b6 81 45 81 45 81 45 01 00 82 b3 82 c1 82 ab 82 c6 81 40 82 a8 82 c8 82 b6 82 be 82 c8 81 76 03 00	「この　ゆかの　すうじ・・・{CTRL_0001}さっきと　おなじだな」		CTRL_0001	todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	54	0	「赤丸の　おかげで　さきに　すすめるように{CTRL_0001}なったってばよ！！　サンキューな！！」	「こんどは　１００にんね・・・{CTRL_0001}ナルト！　たのんだわよ」
zh_txt_41737338_000066_0001	txt_41737338_000066_0001	message	msg/fld/evt/080.m	0x66	1	81 75 82 b1 82 f1 82 c7 82 cd 81 40 82 50 82 4f 82 4f 82 c9 82 f1 82 cb 81 45 81 45 81 45 01 00 83 69 83 8b 83 67 81 49 81 40 82 bd 82 cc 82 f1 82 be 82 ed 82 e6 81 76 03 00	「こんどは　１００にんね・・・{CTRL_0001}ナルト！　たのんだわよ」		CTRL_0001	todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	58	1	「この　ゆかの　すうじ・・・{CTRL_0001}さっきと　おなじだな」	「おっしゃー！{CTRL_0001}サクラちゃん　まかせてくれってばよ！」
zh_txt_41737338_0000B6_0002	txt_41737338_0000B6_0002	message	msg/fld/evt/080.m	0xB6	2	81 75 82 a8 82 c1 82 b5 82 e1 81 5b 81 49 01 00 83 54 83 4e 83 89 82 bf 82 e1 82 f1 81 40 82 dc 82 a9 82 b9 82 c4 82 ad 82 ea 82 c1 82 c4 82 ce 82 e6 81 49 81 76 03 00	「おっしゃー！{CTRL_0001}サクラちゃん　まかせてくれってばよ！」		CTRL_0001	todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	56	2	「こんどは　１００にんね・・・{CTRL_0001}ナルト！　たのんだわよ」	「{CTRL_0103}{CTRL_0002}影分身の術{CTRL_0103}{CTRL_0000}！！」
zh_txt_41737338_0000F0_0003	txt_41737338_0000F0_0003	message	msg/fld/evt/080.m	0xF0	3	81 75 03 01 02 00 89 65 95 aa 90 67 82 cc 8f 70 03 01 00 00 81 49 81 49 81 76 03 00	「{CTRL_0103}{CTRL_0002}影分身の術{CTRL_0103}{CTRL_0000}！！」		CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000	todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	28	3	「おっしゃー！{CTRL_0001}サクラちゃん　まかせてくれってばよ！」	「あいたってばよ！」
zh_txt_41737338_000122_0004	txt_41737338_000122_0004	message	msg/fld/evt/080.m	0x122	4	81 75 82 a0 82 a2 82 bd 82 c1 82 c4 82 ce 82 e6 81 49 81 76 03 00	「あいたってばよ！」			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	22	4	「{CTRL_0103}{CTRL_0002}影分身の術{CTRL_0103}{CTRL_0000}！！」	「・・・すごい　邪気（じゃき）{CTRL_0001}・・・さむけが　するわ・・・」
zh_txt_41737338_00014E_0005	txt_41737338_00014E_0005	message	msg/fld/evt/080.m	0x14E	5	81 75 81 45 81 45 81 45 82 b7 82 b2 82 a2 81 40 8e d7 8b 43 81 69 82 b6 82 e1 82 ab 81 6a 01 00 81 45 81 45 81 45 82 b3 82 de 82 af 82 aa 81 40 82 b7 82 e9 82 ed 81 45 81 45 81 45 81 76 03 00	「・・・すごい　邪気（じゃき）{CTRL_0001}・・・さむけが　するわ・・・」		CTRL_0001	todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	64	5	「あいたってばよ！」	「おそらく　この　むこうに　霊獣（れいじゅう）が　いる！{CTRL_0001}みんな　気をぬくなよ！！」
zh_txt_41737338_0001A4_0006	txt_41737338_0001A4_0006	message	msg/fld/evt/080.m	0x1A4	6	81 75 82 a8 82 bb 82 e7 82 ad 81 40 82 b1 82 cc 81 40 82 de 82 b1 82 a4 82 c9 81 40 97 ec 8f 62 81 69 82 ea 82 a2 82 b6 82 e3 82 a4 81 6a 82 aa 81 40 82 a2 82 e9 81 49 01 00 82 dd 82 f1 82 c8 81 40 8b 43 82 f0 82 ca 82 ad 82 c8 82 e6 81 49 81 49 81 76 03 00	「おそらく　この　むこうに　霊獣（れいじゅう）が　いる！{CTRL_0001}みんな　気をぬくなよ！！」		CTRL_0001	todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	86	6	「・・・すごい　邪気（じゃき）{CTRL_0001}・・・さむけが　するわ・・・」	「あれっ！？」
zh_txt_41737338_000210_0007	txt_41737338_000210_0007	message	msg/fld/evt/080.m	0x210	7	81 75 82 a0 82 ea 82 c1 81 49 81 48 81 76 03 00	「あれっ！？」			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	16	7	「おそらく　この　むこうに　霊獣（れいじゅう）が　いる！{CTRL_0001}みんな　気をぬくなよ！！」	「ナルト！　もう　じかんが　ないのよ！{CTRL_0001}つぎは　せいこう　させてよね！」
zh_txt_41737338_000234_0008	txt_41737338_000234_0008	message	msg/fld/evt/080.m	0x234	8	81 75 83 69 83 8b 83 67 81 49 81 40 82 e0 82 a4 81 40 82 b6 82 a9 82 f1 82 aa 81 40 82 c8 82 a2 82 cc 82 e6 81 49 01 00 82 c2 82 ac 82 cd 81 40 82 b9 82 a2 82 b1 82 a4 81 40 82 b3 82 b9 82 c4 82 e6 82 cb 81 49 81 76 03 00	「ナルト！　もう　じかんが　ないのよ！{CTRL_0001}つぎは　せいこう　させてよね！」		CTRL_0001	todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	74	8	「あれっ！？」	「わかってるってばよ！！」
zh_txt_41737338_000294_0009	txt_41737338_000294_0009	message	msg/fld/evt/080.m	0x294	9	81 75 82 ed 82 a9 82 c1 82 c4 82 e9 82 c1 82 c4 82 ce 82 e6 81 49 81 49 81 76 03 00	「わかってるってばよ！！」			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	28	9	「ナルト！　もう　じかんが　ないのよ！{CTRL_0001}つぎは　せいこう　させてよね！」	「ねぇ　ナルト{CTRL_0001}あんた　やるきあるの？」
