id	jp_id_ref	category	source_file	offset	record_index	raw_hex	jp_text	zh_text	control_tokens	status	length_risk	context_required	translator_note	qa_note
zh_txt_59bb03cb_00000E_0000	txt_59bb03cb_00000E_0000	message	msg/btl/000.m	0xE	0	81 75 83 69 83 8b 83 67 81 49 81 40 03 01 02 00 82 b1 82 a4 82 b0 82 ab 03 01 00 00 82 c9 82 c2 82 a2 82 c4 81 40 82 a8 82 b5 82 a6 82 c4 82 e2 82 e9 81 49 81 76 01 00 81 75 82 b6 82 d4 82 f1 82 cc 83 5e 81 5b 83 93 82 aa 82 ad 82 e9 82 c6 81 40 83 52 83 7d 83 93 83 68 82 aa 81 40 82 d0 82 e5 82 a4 82 b6 82 b3 82 ea 82 e9 81 76 01 00 81 75 83 5e 83 62 83 60 82 c5 82 a6 82 e7 82 f1 82 c5 81 40 82 e0 82 a4 82 a2 82 bf 82 c7 81 40 83 5e 83 62 83 60 82 c5 81 40 82 af 82 c1 82 c4 82 a2 82 be 81 76 01 00 81 75 8f 5c 8e 9a 83 7b 83 5e 83 93 82 c5 82 a6 82 e7 82 f1 82 c5 81 40 82 60 83 7b 83 5e 83 93 82 c5 82 e0 81 40 82 af 82 c1 82 c4 82 a2 82 c5 82 ab 82 e9 82 bc 81 76 01 00 81 75 82 af 82 c1 82 c4 82 a2 82 b5 82 bd 82 e7 81 40 82 b1 82 a4 82 b0 82 ab 82 b5 82 bd 82 a2 93 47 82 f0 81 40 83 5e 83 62 83 60 82 c5 82 a6 82 e7 82 d1 81 76 01 00 81 75 82 e0 82 a4 82 a2 82 bf 82 c7 81 40 83 5e 83 62 83 60 82 c5 81 40 82 b1 82 a4 82 b0 82 ab 82 be 81 76 01 00 81 75 82 b1 82 b1 82 c5 82 e0 81 40 8f 5c 8e 9a 83 7b 83 5e 83 93 82 c6 81 40 82 60 83 7b 83 5e 83 93 82 c5 81 40 82 bb 82 a4 82 b3 82 c5 82 ab 82 e9 82 bc 81 76 01 00 81 75 82 dc 82 bf 82 aa 82 a6 82 bd 82 c6 82 ab 82 cd 81 40 8d b6 8f e3 82 cc 81 40 82 e2 82 b6 82 e9 82 b5 82 f0 81 40 83 5e 83 62 83 60 82 b7 82 e9 82 a9 81 76 01 00 81 75 82 61 83 7b 83 5e 83 93 82 f0 81 40 82 a8 82 b7 82 c6 81 40 83 4c 83 83 83 93 83 5a 83 8b 82 be 81 76 01 00 81 75 82 dc 81 49 81 40 82 c6 82 e8 82 a0 82 a6 82 b8 81 40 82 e2 82 c1 82 c4 82 dd 82 e9 82 b1 82 c6 82 be 82 c8 81 76 03 00	「ナルト！　{CTRL_0103}{CTRL_0002}こうげき{CTRL_0103}{CTRL_0000}について　おしえてやる！」{CTRL_0001}「じぶんのターンがくると　コマンドが　ひょうじされる」{CTRL_0001}「タッチでえらんで　もういちど　タッチで　けっていだ」{CTRL_0001}「十字ボタンでえらんで　Ａボタンでも　けっていできるぞ」{CTRL_0001}「けっていしたら　こうげきしたい敵を　タッチでえらび」{CTRL_0001}「もういちど　タッチで　こうげきだ」{CTRL_0001}「ここでも　十字ボタンと　Ａボタンで　そうさできるぞ」{CTRL_0001}「まちがえたときは　左上の　やじるしを　タッチするか」{CTRL_0001}「Ｂボタンを　おすと　キャンセルだ」{CTRL_0001}「ま！　とりあえず　やってみることだな」		CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001	pending_translation	unknown	yes		
zh_txt_59bb03cb_000218_0001	txt_59bb03cb_000218_0001	message	msg/btl/000.m	0x218	1	81 75 82 c2 82 ac 82 cd 81 40 03 01 02 00 82 a2 82 c7 82 a4 03 01 00 00 82 c9 82 c2 82 a2 82 c4 81 40 82 a8 82 b5 82 a6 82 c4 82 e2 82 e9 81 49 81 76 01 00 81 75 82 aa 82 df 82 f1 82 cc 81 40 89 45 82 cd 82 f1 82 d4 82 f1 82 aa 81 40 82 dd 82 a9 82 bd 82 cc 81 40 82 b6 82 f1 82 bf 82 be 81 49 81 76 01 00 81 75 82 a2 82 c7 82 a4 83 52 83 7d 83 93 83 68 82 f0 81 40 82 a6 82 e7 82 f1 82 c5 81 40 82 af 82 c1 82 c4 82 a2 81 49 81 40 82 c2 82 ac 82 c9 81 76 01 00 81 75 82 a2 82 c7 82 a4 82 b5 82 bd 82 a2 82 ce 82 b5 82 e5 82 f0 81 40 82 a6 82 e7 82 f1 82 c5 81 40 82 af 82 c1 82 c4 82 a2 82 b7 82 e9 82 c6 81 76 01 00 81 75 82 a6 82 e7 82 f1 82 be 81 40 82 ce 82 b5 82 e5 82 c9 81 40 82 a2 82 c7 82 a4 82 b7 82 e9 82 bc 81 49 81 76 01 00 81 75 83 69 83 8b 83 67 81 49 81 40 03 01 02 00 82 dc 82 a6 82 c9 82 a2 82 c7 82 a4 03 01 00 00 82 b5 82 c4 81 40 82 b1 82 a4 82 b0 82 ab 82 b5 82 c4 82 dd 82 eb 81 49 81 76 03 00	「つぎは　{CTRL_0103}{CTRL_0002}いどう{CTRL_0103}{CTRL_0000}について　おしえてやる！」{CTRL_0001}「がめんの　右はんぶんが　みかたの　じんちだ！」{CTRL_0001}「いどうコマンドを　えらんで　けってい！　つぎに」{CTRL_0001}「いどうしたいばしょを　えらんで　けっていすると」{CTRL_0001}「えらんだ　ばしょに　いどうするぞ！」{CTRL_0001}「ナルト！　{CTRL_0103}{CTRL_0002}まえにいどう{CTRL_0103}{CTRL_0000}して　こうげきしてみろ！」		CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000	pending_translation	unknown	yes		
zh_txt_59bb03cb_000354_0002	txt_59bb03cb_000354_0002	message	msg/btl/000.m	0x354	2	81 75 83 69 83 8b 83 67 81 49 81 40 03 01 02 00 82 dc 82 a6 82 c9 82 a2 82 c7 82 a4 03 01 00 00 82 b5 82 c4 81 40 82 b1 82 a4 82 b0 82 ab 82 b5 82 c4 82 dd 82 eb 81 49 81 76 03 00	「ナルト！　{CTRL_0103}{CTRL_0002}まえにいどう{CTRL_0103}{CTRL_0000}して　こうげきしてみろ！」		CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000	pending_translation	unknown	yes		
zh_txt_59bb03cb_00039A_0003	txt_59bb03cb_00039A_0003	message	msg/btl/000.m	0x39A	3	81 75 82 c2 82 ac 82 cd 81 40 03 01 02 00 82 a4 82 b5 82 eb 82 c9 82 a2 82 c7 82 a4 03 01 00 00 82 b5 82 c4 81 40 82 b1 82 a4 82 b0 82 ab 82 b5 82 c4 82 dd 82 eb 81 49 81 76 03 00	「つぎは　{CTRL_0103}{CTRL_0002}うしろにいどう{CTRL_0103}{CTRL_0000}して　こうげきしてみろ！」		CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000	pending_translation	unknown	yes		
zh_txt_59bb03cb_0003E0_0004	txt_59bb03cb_0003E0_0004	message	msg/btl/000.m	0x3E0	4	81 75 82 dc 82 a6 82 c9 81 40 82 c5 82 e9 82 c6 81 40 82 a0 82 bd 82 a6 82 e9 83 5f 83 81 81 5b 83 57 82 cd 81 40 82 a8 82 a8 82 a2 82 aa 81 76 01 00 81 75 82 a4 82 af 82 e9 83 5f 83 81 81 5b 83 57 82 e0 81 40 82 a8 82 a8 82 ad 82 c8 82 e9 81 76 01 00 81 75 82 a4 82 b5 82 eb 82 c9 81 40 82 b3 82 aa 82 e9 82 c6 81 40 82 a0 82 bd 82 a6 82 e9 83 5f 83 81 81 5b 83 57 82 cd 81 40 82 b7 82 ad 82 c8 82 a2 82 aa 81 76 01 00 81 75 82 a4 82 af 82 e9 83 5f 83 81 81 5b 83 57 82 e0 81 40 82 b7 82 ad 82 c8 82 ad 82 c8 82 e9 81 76 01 00 81 75 82 dc 82 bd 81 40 82 c4 82 ab 82 cc 81 40 82 b5 82 e5 82 a4 82 df 82 f1 82 a9 82 e7 82 cc 81 40 82 b1 82 a4 82 b0 82 ab 82 cd 81 76 01 00 81 75 82 a0 82 bd 82 a6 82 e9 83 5f 83 81 81 5b 83 57 82 aa 81 40 83 41 83 62 83 76 82 b7 82 e9 82 bc 81 49 81 76 01 00 81 75 82 b6 82 e5 82 a4 82 ab 82 e5 82 a4 82 c9 82 e6 82 c1 82 c4 81 40 82 a4 82 dc 82 ad 81 40 82 c2 82 a9 82 a2 82 ed 82 af 82 e9 82 e6 82 a4 82 c9 81 49 81 76 01 00 81 75 82 b1 82 ea 82 e7 82 cc 82 b1 82 c6 82 cd 81 40 03 01 02 00 82 be 82 b0 82 ab 82 af 82 a2 82 cc 8f 70 03 01 00 00 82 c5 82 e0 81 40 82 a8 82 c8 82 b6 82 be 81 76 01 00 81 75 82 ac 82 e1 82 ad 82 c9 81 40 82 bb 82 cc 82 d9 82 a9 82 cc 8f 70 82 e2 81 40 82 c7 82 a4 82 ae 82 f0 81 40 82 c2 82 a9 82 a4 82 c6 82 ab 82 cd 81 76 01 00 81 75 82 a0 82 f1 82 ba 82 f1 82 c8 82 a4 82 b5 82 eb 82 c9 81 40 82 a2 82 c7 82 a4 82 b5 82 c4 82 a8 82 ad 82 cc 82 aa 81 40 82 a2 82 a2 82 be 82 eb 82 a4 81 76 03 00	「まえに　でると　あたえるダメージは　おおいが」{CTRL_0001}「うけるダメージも　おおくなる」{CTRL_0001}「うしろに　さがると　あたえるダメージは　すくないが」{CTRL_0001}「うけるダメージも　すくなくなる」{CTRL_0001}「また　てきの　しょうめんからの　こうげきは」{CTRL_0001}「あたえるダメージが　アップするぞ！」{CTRL_0001}「じょうきょうによって　うまく　つかいわけるように！」{CTRL_0001}「これらのことは　{CTRL_0103}{CTRL_0002}だげきけいの術{CTRL_0103}{CTRL_0000}でも　おなじだ」{CTRL_0001}「ぎゃくに　そのほかの術や　どうぐを　つかうときは」{CTRL_0001}「あんぜんなうしろに　いどうしておくのが　いいだろう」		CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0001	pending_translation	unknown	yes		
zh_txt_59bb03cb_0005D2_0005	txt_59bb03cb_0005D2_0005	message	msg/btl/000.m	0x5D2	5	81 75 82 be 82 a2 82 bd 82 a2 81 40 82 b9 82 f1 82 c6 82 a4 82 cc 82 ab 82 d9 82 f1 82 aa 81 40 82 ed 82 a9 82 c1 82 bd 82 e6 82 a4 82 be 82 c8 81 76 01 00 81 75 82 d9 82 a9 82 cc 81 40 83 52 83 7d 83 93 83 68 82 e0 81 40 82 bb 82 a4 82 b3 82 cc 82 b5 82 a9 82 bd 82 cd 81 40 82 a8 82 c8 82 b6 82 be 81 76 01 00 81 75 82 b3 82 a2 82 b2 82 c9 81 40 03 01 02 00 83 60 83 83 83 4e 83 89 82 cb 82 e8 03 01 00 00 82 f0 81 40 82 a8 82 b5 82 a6 82 c4 82 e2 82 e9 81 76 01 00 81 75 82 b6 82 e3 82 c2 82 c9 82 e6 82 c1 82 c4 82 cd 81 40 03 01 02 00 83 60 83 83 83 4e 83 89 82 cb 82 e8 03 01 00 00 82 f0 81 40 82 b7 82 e9 82 e0 82 cc 82 aa 82 a0 82 e9 82 bc 81 76 01 00 81 75 82 c5 82 c4 82 ad 82 e9 81 40 82 b9 82 c2 82 df 82 a2 82 cc 82 c6 82 a8 82 e8 82 c9 81 76 01 00 81 75 82 aa 82 df 82 f1 82 f0 81 40 83 5e 83 62 83 60 82 b5 82 c4 81 40 82 b9 82 a2 82 b1 82 a4 82 b7 82 ea 82 ce 81 76 01 00 81 75 82 b6 82 e3 82 c2 82 cc 81 40 82 a2 82 e8 82 e5 82 ad 82 e2 81 40 82 b1 82 a4 82 a9 82 aa 81 40 83 41 83 62 83 76 82 b7 82 e9 82 a9 82 e7 81 76 01 00 81 75 82 e4 82 a4 82 b1 82 a4 82 c9 81 40 82 c2 82 a9 82 a4 82 f1 82 be 82 bc 81 49 81 76 03 00	「だいたい　せんとうのきほんが　わかったようだな」{CTRL_0001}「ほかの　コマンドも　そうさのしかたは　おなじだ」{CTRL_0001}「さいごに　{CTRL_0103}{CTRL_0002}チャクラねり{CTRL_0103}{CTRL_0000}を　おしえてやる」{CTRL_0001}「じゅつによっては　{CTRL_0103}{CTRL_0002}チャクラねり{CTRL_0103}{CTRL_0000}を　するものがあるぞ」{CTRL_0001}「でてくる　せつめいのとおりに」{CTRL_0001}「がめんを　タッチして　せいこうすれば」{CTRL_0001}「じゅつの　いりょくや　こうかが　アップするから」{CTRL_0001}「ゆうこうに　つかうんだぞ！」		CTRL_0001 CTRL_0001 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0001	pending_translation	unknown	yes		
zh_txt_fa5876d6_00000E_0000	txt_fa5876d6_00000E_0000	message	msg/btl/001.m	0xE	0	81 75 03 01 02 00 83 6f 83 67 83 8b 8c fb 82 e6 82 b9 03 01 00 00 82 cc 81 40 82 b5 82 cc 82 d1 8e 44 82 f0 81 40 83 5a 83 62 83 67 82 b5 82 c4 82 a8 82 af 82 ce 81 76 01 00 81 75 82 b9 82 f1 82 c6 82 a4 82 bf 82 e3 82 a4 82 c9 81 40 03 01 02 00 8c fb 82 e6 82 b9 82 c7 82 a4 82 d4 82 c2 03 01 00 00 82 f0 81 40 82 e6 82 d1 82 be 82 b5 82 c4 81 76 01 00 81 75 82 a9 82 ed 82 e8 82 c9 81 40 82 bd 82 bd 82 a9 82 ed 82 b9 82 e9 82 b1 82 c6 82 aa 82 c5 82 ab 82 e9 82 bc 81 49 81 76 01 00 81 75 82 dc 82 9f 81 40 82 e2 82 c1 82 c4 82 dd 82 ea 82 ce 81 40 82 ed 82 a9 82 e9 82 cc 83 48 81 76 03 00	「{CTRL_0103}{CTRL_0002}バトル口よせ{CTRL_0103}{CTRL_0000}の　しのび札を　セットしておけば」{CTRL_0001}「せんとうちゅうに　{CTRL_0103}{CTRL_0002}口よせどうぶつ{CTRL_0103}{CTRL_0000}を　よびだして」{CTRL_0001}「かわりに　たたかわせることができるぞ！」{CTRL_0001}「まぁ　やってみれば　わかるのォ」		CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0001	pending_translation	unknown	yes		
zh_txt_fa5876d6_0000DE_0001	txt_fa5876d6_0000DE_0001	message	msg/btl/001.m	0xDE	1	81 75 03 01 02 00 8c fb 82 e6 82 b9 82 c7 82 a4 82 d4 82 c2 03 01 00 00 82 f0 81 40 82 e0 82 c6 82 c9 81 40 82 e0 82 c7 82 b5 82 bd 82 a2 82 c6 82 ab 82 cd 81 76 01 00 81 75 03 01 02 00 82 e0 82 c7 82 b7 83 52 83 7d 83 93 83 68 03 01 00 00 82 f0 81 40 82 b9 82 f1 82 bd 82 ad 82 b7 82 ea 82 ce 81 40 82 e0 82 c7 82 b9 82 e9 82 bc 81 49 81 76 03 00	「{CTRL_0103}{CTRL_0002}口よせどうぶつ{CTRL_0103}{CTRL_0000}を　もとに　もどしたいときは」{CTRL_0001}「{CTRL_0103}{CTRL_0002}もどすコマンド{CTRL_0103}{CTRL_0000}を　せんたくすれば　もどせるぞ！」		CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000	pending_translation	unknown	yes		
zh_txt_fa5876d6_00015C_0002	txt_fa5876d6_00015C_0002	message	msg/btl/001.m	0x15C	2	81 75 82 b1 82 a4 82 c7 82 a4 82 d3 82 cc 82 a4 82 c9 81 40 82 c8 82 c1 82 c4 82 b5 82 dc 82 c1 82 bd 81 40 03 01 02 00 8c fb 82 e6 82 b9 82 c7 82 a4 82 d4 82 c2 03 01 00 00 82 cd 81 76 01 00 81 75 82 bb 82 cc 82 b9 82 f1 82 c6 82 a4 82 bf 82 e3 82 a4 82 cd 81 40 82 e6 82 d1 82 be 82 b7 82 b1 82 c6 82 aa 82 c5 82 ab 82 c8 82 ad 82 c8 82 e9 82 bc 81 76 01 00 81 75 82 a8 82 dc 82 a6 82 cc 81 40 03 01 02 00 8c fb 82 e6 82 b9 82 c7 82 a4 82 d4 82 c2 03 01 00 00 82 cd 81 40 82 dc 82 be 82 dc 82 be 81 40 82 e6 82 ed 82 a2 82 aa 81 76 01 00 81 75 82 b6 82 d4 82 f1 82 aa 81 40 82 c2 82 e6 82 ad 82 c8 82 ea 82 ce 81 40 03 01 02 00 8c fb 82 e6 82 b9 82 c7 82 a4 82 d4 82 c2 03 01 00 00 82 e0 81 76 01 00 81 75 82 c7 82 f1 82 c7 82 f1 81 40 82 c2 82 e6 82 ad 82 c8 82 c1 82 c4 82 a2 82 ad 82 a9 82 e7 82 cc 83 48 81 76 01 00 81 75 82 b1 82 f1 82 b2 81 40 03 01 02 00 8c fb 82 e6 82 b9 82 cc 8f 70 03 01 00 00 82 f0 81 40 82 c2 82 a9 82 a2 82 bd 82 a9 82 c1 82 bd 82 e7 81 76 01 00 81 75 82 b5 82 cc 82 d1 8e 44 82 f0 81 40 82 bb 82 a4 82 d1 82 b7 82 e9 82 cc 82 f0 81 40 82 ed 82 b7 82 ea 82 c8 82 a2 82 e6 82 a4 82 c9 82 cc 83 48 81 76 01 00 81 75 82 dc 82 a0 81 40 82 b1 82 ea 82 ae 82 e7 82 a2 81 40 82 b9 82 c2 82 df 82 a2 82 b5 82 c4 82 a8 82 af 82 ce 81 40 82 a2 82 a2 82 a9 82 cc 83 48 81 76 01 00 81 75 82 bb 82 ea 82 b6 82 e1 81 40 94 6a 8e d7 82 cc 92 4a 82 d6 81 40 82 de 82 a9 82 a4 82 c6 82 b7 82 e9 82 bc 81 76 03 00	「こうどうふのうに　なってしまった　{CTRL_0103}{CTRL_0002}口よせどうぶつ{CTRL_0103}{CTRL_0000}は」{CTRL_0001}「そのせんとうちゅうは　よびだすことができなくなるぞ」{CTRL_0001}「おまえの　{CTRL_0103}{CTRL_0002}口よせどうぶつ{CTRL_0103}{CTRL_0000}は　まだまだ　よわいが」{CTRL_0001}「じぶんが　つよくなれば　{CTRL_0103}{CTRL_0002}口よせどうぶつ{CTRL_0103}{CTRL_0000}も」{CTRL_0001}「どんどん　つよくなっていくからのォ」{CTRL_0001}「こんご　{CTRL_0103}{CTRL_0002}口よせの術{CTRL_0103}{CTRL_0000}を　つかいたかったら」{CTRL_0001}「しのび札を　そうびするのを　わすれないようにのォ」{CTRL_0001}「まあ　これぐらい　せつめいしておけば　いいかのォ」{CTRL_0001}「それじゃ　破邪の谷へ　むかうとするぞ」		CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0001 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0001 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0001 CTRL_0001	pending_translation	unknown	yes		
zh_txt_1ef20901_00000E_0000	txt_1ef20901_00000E_0000	message	msg/btl/002.m	0xE	0	81 75 03 01 02 00 82 b1 82 a4 82 bd 82 a2 03 01 00 00 82 c9 82 c2 82 a2 82 c4 81 40 82 b9 82 c2 82 df 82 a2 82 b5 82 c4 82 e2 82 eb 82 a4 81 76 01 00 81 75 83 52 83 7d 83 93 83 68 82 cc 81 40 82 c8 82 a9 82 a9 82 e7 81 40 03 01 02 00 82 b1 82 a4 82 bd 82 a2 03 01 00 00 82 f0 81 40 82 a6 82 e7 82 d4 82 c6 81 76 01 00 81 75 82 d0 82 a9 82 a6 82 cc 81 40 83 4c 83 83 83 89 83 4e 83 5e 81 5b 82 c6 81 40 82 b1 82 a4 82 bd 82 a2 82 c5 82 ab 82 e9 82 bc 81 76 01 00 81 75 82 ed 82 bd 82 b5 82 cd 81 40 82 c8 82 c9 82 e0 82 b5 82 c8 82 a2 82 a9 82 e7 81 76 01 00 81 75 82 bc 82 f1 82 d4 82 f1 82 c9 81 40 82 ea 82 f1 82 b5 82 e3 82 a4 82 b5 82 c4 82 dd 82 e9 82 c6 82 a2 82 a2 81 76 03 00	「{CTRL_0103}{CTRL_0002}こうたい{CTRL_0103}{CTRL_0000}について　せつめいしてやろう」{CTRL_0001}「コマンドの　なかから　{CTRL_0103}{CTRL_0002}こうたい{CTRL_0103}{CTRL_0000}を　えらぶと」{CTRL_0001}「ひかえの　キャラクターと　こうたいできるぞ」{CTRL_0001}「わたしは　なにもしないから」{CTRL_0001}「ぞんぶんに　れんしゅうしてみるといい」		CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001 CTRL_0001 CTRL_0001	pending_translation	unknown	yes		
