table	id	source_file	offset	record_index	flags	jp_text	zh_text	status	encoded_complete	fixed_slot_status
frozen	zh_txt_59bb03cb_00000E_0000	msg/btl/000.m	0xE	0	long_padding	「ナルト！　{CTRL_0103}{CTRL_0002}こうげき{CTRL_0103}{CTRL_0000}について　おしえてやる！」{CTRL_0001}「じぶんのターンがくると　コマンドが　ひょうじされる」{CTRL_0001}「タッチでえらんで　もういちど　タッチで　けっていだ」{CTRL_0001}「十字ボタンでえらんで　Ａボタンでも　けっていできるぞ」{CTRL_0001}「けっていしたら　こうげきしたい敵を　タッチでえらび」{CTRL_0001}「もういちど　タッ	「鸣人！{CTRL_0103}{CTRL_0002}攻击{CTRL_0103}{CTRL_0000}就由我来教你！」{CTRL_0001}「轮到自己时会显示指令」{CTRL_0001}「触摸选择，再触摸确定」{CTRL_0001}「也能用十字键选择，按Ａ键确定」{CTRL_0001}「确定后，触摸想攻击的敌人」{CTRL_0001}「再触摸一次就能攻击」{CTRL_0001}「这里也能用十字键和Ａ键操作」{CTRL_0001}「选错时，触摸左上角的箭头」{CTRL_0001}	translated_aligned		
frozen	zh_txt_59bb03cb_000218_0001	msg/btl/000.m	0x218	1	long_padding	「つぎは　{CTRL_0103}{CTRL_0002}いどう{CTRL_0103}{CTRL_0000}について　おしえてやる！」{CTRL_0001}「がめんの　右はんぶんが　みかたの　じんちだ！」{CTRL_0001}「いどうコマンドを　えらんで　けってい！　つぎに」{CTRL_0001}「いどうしたいばしょを　えらんで　けっていすると」{CTRL_0001}「えらんだ　ばしょに　いどうするぞ！」{CTRL_0001}「ナルト！　{CTRL_0103}{CTRL_0002	「接下来，我教你{CTRL_0103}{CTRL_0002}移动{CTRL_0103}{CTRL_0000}！」{CTRL_0001}「画面右半边是我方阵地！」{CTRL_0001}「选择移动指令并确定！接着」{CTRL_0001}「选择想移动的位置并确定」{CTRL_0001}「就会移动到选中的位置！」{CTRL_0001}「鸣人！{CTRL_0103}{CTRL_0002}向前移动{CTRL_0103}{CTRL_0000}后攻击看看！」                 	translated_aligned		
frozen	zh_txt_59bb03cb_000354_0002	msg/btl/000.m	0x354	2	long_padding	「ナルト！　{CTRL_0103}{CTRL_0002}まえにいどう{CTRL_0103}{CTRL_0000}して　こうげきしてみろ！」	「鸣人！{CTRL_0103}{CTRL_0002}向前移动{CTRL_0103}{CTRL_0000}后攻击！」             	translated_aligned		
frozen	zh_txt_59bb03cb_00039A_0003	msg/btl/000.m	0x39A	3	long_padding	「つぎは　{CTRL_0103}{CTRL_0002}うしろにいどう{CTRL_0103}{CTRL_0000}して　こうげきしてみろ！」	「接下来{CTRL_0103}{CTRL_0002}向后移动{CTRL_0103}{CTRL_0000}后攻击！」             	translated_aligned		
frozen	zh_txt_59bb03cb_0003E0_0004	msg/btl/000.m	0x3E0	4	long_padding	「まえに　でると　あたえるダメージは　おおいが」{CTRL_0001}「うけるダメージも　おおくなる」{CTRL_0001}「うしろに　さがると　あたえるダメージは　すくないが」{CTRL_0001}「うけるダメージも　すくなくなる」{CTRL_0001}「また　てきの　しょうめんからの　こうげきは」{CTRL_0001}「あたえるダメージが　アップするぞ！」{CTRL_0001}「じょうきょうによって　うまく　つかいわけるように！」{CTRL_0001}「これらのことは　{	「往前时造成伤害较高」{CTRL_0001}「但受到的伤害也会增加」{CTRL_0001}「往后退时造成伤害较低」{CTRL_0001}「但受到的伤害也会减少」{CTRL_0001}「另外，从敌人正面攻击」{CTRL_0001}「造成的伤害会提升！」{CTRL_0001}「要根据情况灵活运用！」{CTRL_0001}「这些对{CTRL_0103}{CTRL_0002}打击系忍术{CTRL_0103}{CTRL_0000}也一样」{CTRL_0001}「反过来，使用其他忍术或道	translated_aligned		
frozen	zh_txt_59bb03cb_0005D2_0005	msg/btl/000.m	0x5D2	5	long_padding	「だいたい　せんとうのきほんが　わかったようだな」{CTRL_0001}「ほかの　コマンドも　そうさのしかたは　おなじだ」{CTRL_0001}「さいごに　{CTRL_0103}{CTRL_0002}チャクラねり{CTRL_0103}{CTRL_0000}を　おしえてやる」{CTRL_0001}「じゅつによっては　{CTRL_0103}{CTRL_0002}チャクラねり{CTRL_0103}{CTRL_0000}を　するものがあるぞ」{CTRL_0001}「でてくる　せつめい	「看来你基本掌握战斗了」{CTRL_0001}「其他指令的操作方法也一样」{CTRL_0001}「最后教你{CTRL_0103}{CTRL_0002}凝聚查克拉{CTRL_0103}{CTRL_0000}」{CTRL_0001}「有些忍术需要{CTRL_0103}{CTRL_0002}凝聚查克拉{CTRL_0103}{CTRL_0000}」{CTRL_0001}「按出现的说明」{CTRL_0001}「触摸画面，成功的话」{CTRL_0001}「忍术威力或效果会提升」{CTRL	translated_aligned		
frozen	zh_txt_fa5876d6_00000E_0000	msg/btl/001.m	0xE	0	long_padding	「{CTRL_0103}{CTRL_0002}バトル口よせ{CTRL_0103}{CTRL_0000}の　しのび札を　セットしておけば」{CTRL_0001}「せんとうちゅうに　{CTRL_0103}{CTRL_0002}口よせどうぶつ{CTRL_0103}{CTRL_0000}を　よびだして」{CTRL_0001}「かわりに　たたかわせることができるぞ！」{CTRL_0001}「まぁ　やってみれば　わかるのォ」	「只要先装备{CTRL_0103}{CTRL_0002}战斗通灵{CTRL_0103}{CTRL_0000}的忍札」{CTRL_0001}「战斗中就能召唤{CTRL_0103}{CTRL_0002}通灵兽{CTRL_0103}{CTRL_0000}」{CTRL_0001}「让它替你战斗！」{CTRL_0001}「试试就明白了」                                               	translated_aligned		
frozen	zh_txt_fa5876d6_0000DE_0001	msg/btl/001.m	0xDE	1	long_padding	「{CTRL_0103}{CTRL_0002}口よせどうぶつ{CTRL_0103}{CTRL_0000}を　もとに　もどしたいときは」{CTRL_0001}「{CTRL_0103}{CTRL_0002}もどすコマンド{CTRL_0103}{CTRL_0000}を　せんたくすれば　もどせるぞ！」	「想收回{CTRL_0103}{CTRL_0002}通灵兽{CTRL_0103}{CTRL_0000}时」{CTRL_0001}「选择{CTRL_0103}{CTRL_0002}收回指令{CTRL_0103}{CTRL_0000}就行！」                                      	translated_aligned		
frozen	zh_txt_fa5876d6_00015C_0002	msg/btl/001.m	0x15C	2	long_padding	「こうどうふのうに　なってしまった　{CTRL_0103}{CTRL_0002}口よせどうぶつ{CTRL_0103}{CTRL_0000}は」{CTRL_0001}「そのせんとうちゅうは　よびだすことができなくなるぞ」{CTRL_0001}「おまえの　{CTRL_0103}{CTRL_0002}口よせどうぶつ{CTRL_0103}{CTRL_0000}は　まだまだ　よわいが」{CTRL_0001}「じぶんが　つよくなれば　{CTRL_0103}{CTRL_0002}口よせどう	「无法行动的{CTRL_0103}{CTRL_0002}通灵兽{CTRL_0103}{CTRL_0000}」{CTRL_0001}「在这场战斗中就不能再召唤了」{CTRL_0001}「你的{CTRL_0103}{CTRL_0002}通灵兽{CTRL_0103}{CTRL_0000}还很弱」{CTRL_0001}「但你变强后，{CTRL_0103}{CTRL_0002}通灵兽{CTRL_0103}{CTRL_0000}也」{CTRL_0001}「会越来越强」{CTRL_0001	translated_aligned		
frozen	zh_txt_1ef20901_00000E_0000	msg/btl/002.m	0xE	0	long_padding	「{CTRL_0103}{CTRL_0002}こうたい{CTRL_0103}{CTRL_0000}について　せつめいしてやろう」{CTRL_0001}「コマンドの　なかから　{CTRL_0103}{CTRL_0002}こうたい{CTRL_0103}{CTRL_0000}を　えらぶと」{CTRL_0001}「ひかえの　キャラクターと　こうたいできるぞ」{CTRL_0001}「わたしは　なにもしないから」{CTRL_0001}「ぞんぶんに　れんしゅうしてみるといい」	「我来说明一下{CTRL_0103}{CTRL_0002}换人{CTRL_0103}{CTRL_0000}」{CTRL_0001}「从指令中选择{CTRL_0103}{CTRL_0002}换人{CTRL_0103}{CTRL_0000}」{CTRL_0001}「就能和候补角色交换」{CTRL_0001}「我不会出手」{CTRL_0001}「你就尽管练习吧」                                                             	translated_aligned		
