id	jp_id_ref	category	source_file	offset	record_index	chunk_id	issues	auto_changes	strategy	prefix_len	prefix_hex	prefix_text	expected_tokens	tokens_before	tokens_after	encoded_len_after	payload_capacity_after	capacity_delta_after	missing_chars	adjusted_jp_text	zh_text_before	zh_text_after
zh_txt_565c7df8_00000C_0000	txt_565c7df8_00000C_0000	message	msg/btl/003.m	0xC	0	chunk_0004	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue	strip_prefix_before_open_quote_exact_body_controls	2	42 00	B{CTRL_00}	CTRL_0001	CTRL_8100 CTRL_0001	CTRL_0001	40	72	32		「フッ　しょせん　ザコは　ザコ・・・」{CTRL_0001}「激龍掌（げきりゅうしょう）！」	{CTRL_8100}「哼，杂鱼终究是杂鱼……」{CTRL_0001}「激龙掌！」	「哼，杂鱼终究是杂鱼……」{CTRL_0001}「激龙掌！」
zh_txt_f831441d_00000C_0000	txt_f831441d_00000C_0000	message	msg/btl/008.m	0xC	0	chunk_0005	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	2	41 00	A{CTRL_00}	CTRL_0001	CTRL_8100 CTRL_0001	CTRL_0001	42	70	28		「ロッカク　なさけないですね・・・」{CTRL_0001}「では　わたしから　いきますよ」	{CTRL_8100}六角，真没用啊……」{CTRL_0001}「那么，换我来吧」	「六角，真没用啊……」{CTRL_0001}「那么，换我来吧」
zh_txt_f831441d_00005E_0001	txt_f831441d_00005E_0001	message	msg/btl/008.m	0x5E	1	chunk_0005	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	2	41 00	A{CTRL_00}	CTRL_0001	CTRL_8100 CTRL_0001	CTRL_0001	54	86	32		「ヒヒヒ・・・すこし　あまく　みていたようですね」{CTRL_0001}「そろそろ　ほんきで　いきますよ」	{CTRL_8100}嘻嘻嘻……看来我有点小看你了」{CTRL_0001}「差不多该认真上了」	「嘻嘻嘻……看来我有点小看你了」{CTRL_0001}「差不多该认真上了」
zh_txt_f831441d_0000C0_0002	txt_f831441d_0000C0_0002	message	msg/btl/008.m	0xC0	2	chunk_0005	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	2	41 00	A{CTRL_00}		CTRL_8100		22	32	10		「ヒヒヒ・・・　まだまだですよ」	{CTRL_8100}嘻嘻嘻……还没完呢」	「嘻嘻嘻……还没完呢」
zh_txt_e8e8dddc_00000C_0000	txt_e8e8dddc_00000C_0000	message	msg/btl/010.m	0xC	0	chunk_0006	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	2	41 00	A{CTRL_00}	CTRL_0001	CTRL_8100 CTRL_0001	CTRL_0001	40	70	30		「ロッカク　なさけないですね・・・」{CTRL_0001}「では　わたしから　いきますよ」	{CTRL_8100}六角，真没用啊……」{CTRL_0001}「那就由我来吧」	「六角，真没用啊……」{CTRL_0001}「那就由我来吧」
zh_txt_e8e8dddc_00005E_0001	txt_e8e8dddc_00005E_0001	message	msg/btl/010.m	0x5E	1	chunk_0006	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	2	41 00	A{CTRL_00}	CTRL_0001	CTRL_8100 CTRL_0001	CTRL_0001	54	88	34		「ヒヒヒ・・・　すこし　あまく　みていたようですね」{CTRL_0001}「そろそろ　ほんきで　いきますよ」	{CTRL_8100}嘿嘿嘿……看来是有点小看你了」{CTRL_0001}「差不多该认真上了」	「嘿嘿嘿……看来是有点小看你了」{CTRL_0001}「差不多该认真上了」
zh_txt_e8e8dddc_0000C2_0002	txt_e8e8dddc_0000C2_0002	message	msg/btl/010.m	0xC2	2	chunk_0006	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	2	41 00	A{CTRL_00}		CTRL_8100		22	32	10		「ヒヒヒ・・・　まだまだですよ」	{CTRL_8100}嘿嘿嘿……还没完呢」	「嘿嘿嘿……还没完呢」
zh_txt_687921f6_00000C_0000	txt_687921f6_00000C_0000	message	msg/btl/023.m	0xC	0	chunk_0008	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue	strip_prefix_before_open_quote_exact_body_controls	2	40 00	@{CTRL_00}	CTRL_0001 CTRL_0001	CTRL_8100 CTRL_0001 CTRL_0001	CTRL_0001 CTRL_0001	94	142	48		「ククク・・・　すばらしい　チカラだ・・・・・・」{CTRL_0001}「きさまらごときに　わたしを　とめることは　できん」{CTRL_0001}「このばで　きえさるが　よい・・・」	{CTRL_8100}「呵呵呵……真是了不起的力量……」{CTRL_0001}「凭你们这种货色，是阻止不了我的」{CTRL_0001}「就在这里消失吧……」	「呵呵呵……真是了不起的力量……」{CTRL_0001}「凭你们这种货色，是阻止不了我的」{CTRL_0001}「就在这里消失吧……」
zh_txt_8e6f34f1_000042_0001	txt_8e6f34f1_000042_0001	message	msg/eiga/039.m	0x42	1	chunk_0050	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	35 00 00 00 02 02 00 00 35 00	5{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3500}{CTRL_00}		CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3500 CTRL_8100		12	18	6		「ワン！　ワン！」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3500}{CTRL_8100}汪！汪！」	「汪！汪！」
zh_txt_8e6f34f1_0000DA_0004	txt_8e6f34f1_0000DA_0004	message	msg/eiga/039.m	0xDA	4	chunk_0050	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	35 00 00 00 02 02 00 00 35 00	5{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3500}{CTRL_00}		CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3500 CTRL_8100		16	26	10		「ワン！　ワン！　ワン！」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3500}{CTRL_8100}汪！汪！汪！」	「汪！汪！汪！」
